Date,Symbol,Close
2018-07-20,HDFCBANK,2189.05
2018-07-23,HDFCBANK,2156.45
2018-07-24,HDFCBANK,2159.75
2018-07-25,HDFCBANK,2170.35
2018-07-26,HDFCBANK,2192.6
2018-07-27,HDFCBANK,2202.15
2018-07-30,HDFCBANK,2169.9
2018-07-31,HDFCBANK,2179.5
2018-08-01,HDFCBANK,2158.7
2018-08-02,HDFCBANK,2130.2
2018-08-03,HDFCBANK,2121.65
2018-08-06,HDFCBANK,2114.3
2018-08-07,HDFCBANK,2130.9
2018-08-08,HDFCBANK,2136.35
2018-08-09,HDFCBANK,2118.5
2018-08-10,HDFCBANK,2114.45
2018-08-13,HDFCBANK,2091.65
2018-08-14,HDFCBANK,2089.1
2018-08-16,HDFCBANK,2075.7
2018-08-17,HDFCBANK,2077.35
2018-08-20,HDFCBANK,2096.2
2018-08-21,HDFCBANK,2096.05
2018-08-23,HDFCBANK,2079.9
2018-08-24,HDFCBANK,2069.85
2018-08-27,HDFCBANK,2080.45
2018-08-28,HDFCBANK,2094.85
2018-08-29,HDFCBANK,2078.5
2018-08-30,HDFCBANK,2066.1
2018-08-31,HDFCBANK,2061.2
2018-09-03,HDFCBANK,2075.05
2018-09-04,HDFCBANK,2051.8
2018-09-05,HDFCBANK,2045.85
2018-09-06,HDFCBANK,2052.2
2018-09-07,HDFCBANK,2056.95
2018-09-10,HDFCBANK,2041.15
2018-09-11,HDFCBANK,2000.4
2018-09-12,HDFCBANK,2011.85
2018-09-14,HDFCBANK,2029.6
2018-09-17,HDFCBANK,1992.2
2018-09-18,HDFCBANK,1989.2
2018-09-19,HDFCBANK,1961.35
2018-09-21,HDFCBANK,1970.25
2018-09-24,HDFCBANK,1925.7
2018-09-25,HDFCBANK,1952.4
2018-09-26,HDFCBANK,1968.2
2018-09-27,HDFCBANK,1976.15
2018-09-28,HDFCBANK,2006.05
2018-10-01,HDFCBANK,2035.45
2018-10-03,HDFCBANK,2031.15
2018-10-04,HDFCBANK,1957.75
2018-10-05,HDFCBANK,1965.3
2018-10-08,HDFCBANK,1945.0
2018-10-09,HDFCBANK,1940.6
2018-10-10,HDFCBANK,1967.15
2018-10-11,HDFCBANK,1937.55
2018-10-12,HDFCBANK,1981.85
2018-10-15,HDFCBANK,2008.05
2018-10-16,HDFCBANK,1992.75
2018-10-17,HDFCBANK,1974.6
2018-10-19,HDFCBANK,1967.75
2018-10-22,HDFCBANK,1998.9
2018-10-23,HDFCBANK,1984.85
2018-10-24,HDFCBANK,1992.25
2018-10-25,HDFCBANK,1968.8
2018-10-26,HDFCBANK,1961.2
2018-10-29,HDFCBANK,1926.3
2018-10-30,HDFCBANK,1912.75
2018-10-31,HDFCBANK,1911.75
2018-11-01,HDFCBANK,1912.2
2018-11-02,HDFCBANK,1949.45
2018-11-05,HDFCBANK,1956.0
2018-11-06,HDFCBANK,1946.55
2018-11-07,HDFCBANK,1957.95
2018-11-09,HDFCBANK,1945.4
2018-11-12,HDFCBANK,1921.05
2018-11-13,HDFCBANK,1927.75
2018-11-14,HDFCBANK,1957.75
2018-11-15,HDFCBANK,1975.15
2018-11-16,HDFCBANK,2004.3
2018-11-19,HDFCBANK,2013.9
2018-11-20,HDFCBANK,2012.45
2018-11-21,HDFCBANK,2018.75
2018-11-22,HDFCBANK,2005.5
2018-11-26,HDFCBANK,2049.8
2018-11-27,HDFCBANK,2064.0
2018-11-28,HDFCBANK,2089.25
2018-11-29,HDFCBANK,2131.05
2018-11-30,HDFCBANK,2128.45
2018-12-03,HDFCBANK,2113.3
2018-12-04,HDFCBANK,2085.55
2018-12-05,HDFCBANK,2099.2
2018-12-06,HDFCBANK,2097.05
2018-12-07,HDFCBANK,2107.6
2018-12-10,HDFCBANK,2088.75
2018-12-11,HDFCBANK,2059.55
2018-12-12,HDFCBANK,2085.3
2018-12-13,HDFCBANK,2101.3
2018-12-14,HDFCBANK,2095.7
2018-12-17,HDFCBANK,2130.2
2018-12-18,HDFCBANK,2135.45
2018-12-19,HDFCBANK,2123.45
2018-12-20,HDFCBANK,2137.45
2018-12-21,HDFCBANK,2111.15
2018-12-24,HDFCBANK,2080.65
2018-12-26,HDFCBANK,2122.35
2018-12-27,HDFCBANK,2105.05
2018-12-28,HDFCBANK,2122.9
2018-12-31,HDFCBANK,2121.7
2019-01-01,HDFCBANK,2148.1
2019-01-02,HDFCBANK,2128.5
2019-01-03,HDFCBANK,2111.8
2019-01-04,HDFCBANK,2117.45
2019-01-07,HDFCBANK,2120.65
2019-01-08,HDFCBANK,2103.0
2019-01-09,HDFCBANK,2116.8
2019-01-10,HDFCBANK,2108.5
2019-01-11,HDFCBANK,2111.9
2019-01-14,HDFCBANK,2101.65
2019-01-15,HDFCBANK,2121.9
2019-01-16,HDFCBANK,2120.2
2019-01-17,HDFCBANK,2132.3
2019-01-18,HDFCBANK,2130.25
2019-01-21,HDFCBANK,2148.15
2019-01-22,HDFCBANK,2135.85
2019-01-23,HDFCBANK,2105.4
2019-01-24,HDFCBANK,2102.25
2019-01-25,HDFCBANK,2096.0
2019-01-28,HDFCBANK,2084.15
2019-01-29,HDFCBANK,2057.6
2019-01-30,HDFCBANK,2034.7
2019-01-31,HDFCBANK,2079.95
2019-02-01,HDFCBANK,2090.45
2019-02-04,HDFCBANK,2104.9
2019-02-05,HDFCBANK,2114.05
2019-02-06,HDFCBANK,2122.65
2019-02-07,HDFCBANK,2117.25
2019-02-08,HDFCBANK,2122.65
2019-02-11,HDFCBANK,2139.65
2019-02-12,HDFCBANK,2129.7
2019-02-13,HDFCBANK,2143.45
2019-02-14,HDFCBANK,2110.2
2019-02-15,HDFCBANK,2100.65
2019-02-18,HDFCBANK,2089.9
2019-02-19,HDFCBANK,2084.05
2019-02-20,HDFCBANK,2108.35
2019-02-21,HDFCBANK,2115.9
2019-02-22,HDFCBANK,2091.45
2019-02-25,HDFCBANK,2125.4
2019-02-26,HDFCBANK,2110.65
2019-02-27,HDFCBANK,2092.25
2019-02-28,HDFCBANK,2077.55
2019-03-01,HDFCBANK,2083.35
2019-03-05,HDFCBANK,2107.1
2019-03-06,HDFCBANK,2104.25
2019-03-07,HDFCBANK,2126.5
2019-03-08,HDFCBANK,2128.2
2019-03-11,HDFCBANK,2128.45
2019-03-12,HDFCBANK,2171.0
2019-03-13,HDFCBANK,2226.55
2019-03-14,HDFCBANK,2224.75
2019-03-15,HDFCBANK,2253.0
2019-03-18,HDFCBANK,2261.45
2019-03-19,HDFCBANK,2267.75
2019-03-20,HDFCBANK,2299.0
2019-03-22,HDFCBANK,2276.15
2019-03-25,HDFCBANK,2281.3
2019-03-26,HDFCBANK,2311.35
2019-03-27,HDFCBANK,2299.45
2019-03-28,HDFCBANK,2302.8
2019-03-29,HDFCBANK,2318.9
2019-04-01,HDFCBANK,2311.8
2019-04-02,HDFCBANK,2294.85
2019-04-03,HDFCBANK,2292.75
2019-04-04,HDFCBANK,2283.95
2019-04-05,HDFCBANK,2305.6
2019-04-08,HDFCBANK,2289.4
2019-04-09,HDFCBANK,2287.25
2019-04-10,HDFCBANK,2237.35
2019-04-11,HDFCBANK,2257.5
2019-04-12,HDFCBANK,2265.25
2019-04-15,HDFCBANK,2288.8
2019-04-16,HDFCBANK,2305.05
2019-04-18,HDFCBANK,2293.65
2019-04-22,HDFCBANK,2268.7
2019-04-23,HDFCBANK,2245.3
2019-04-24,HDFCBANK,2279.75
2019-04-25,HDFCBANK,2263.45
2019-04-26,HDFCBANK,2280.95
2019-04-30,HDFCBANK,2317.45
2019-05-02,HDFCBANK,2355.8
2019-05-03,HDFCBANK,2367.95
2019-05-06,HDFCBANK,2328.45
2019-05-07,HDFCBANK,2322.35
2019-05-08,HDFCBANK,2307.25
2019-05-09,HDFCBANK,2290.9
2019-05-10,HDFCBANK,2296.5
2019-05-13,HDFCBANK,2287.2
2019-05-14,HDFCBANK,2287.9
2019-05-15,HDFCBANK,2286.7
2019-05-16,HDFCBANK,2310.65
2019-05-17,HDFCBANK,2362.1
2019-05-20,HDFCBANK,2432.35
2019-05-21,HDFCBANK,2403.7
2019-05-22,HDFCBANK,2405.75
2019-05-23,HDFCBANK,2332.1
2019-05-24,HDFCBANK,2373.35
2019-05-27,HDFCBANK,2408.35
2019-05-28,HDFCBANK,2416.2
2019-05-29,HDFCBANK,2416.9
2019-05-30,HDFCBANK,2439.55
2019-05-31,HDFCBANK,2425.35
2019-06-03,HDFCBANK,2457.1
2019-06-04,HDFCBANK,2452.3
2019-06-06,HDFCBANK,2423.35
2019-06-07,HDFCBANK,2447.65
2019-06-10,HDFCBANK,2440.2
2019-06-11,HDFCBANK,2448.4
2019-06-12,HDFCBANK,2427.05
2019-06-13,HDFCBANK,2444.7
2019-06-14,HDFCBANK,2435.1
2019-06-17,HDFCBANK,2422.0
2019-06-18,HDFCBANK,2417.25
2019-06-19,HDFCBANK,2428.35
2019-06-20,HDFCBANK,2426.35
2019-06-21,HDFCBANK,2414.2
2019-06-24,HDFCBANK,2417.95
2019-06-25,HDFCBANK,2428.7
2019-06-26,HDFCBANK,2467.9
2019-06-27,HDFCBANK,2462.3
2019-06-28,HDFCBANK,2443.75
2019-07-01,HDFCBANK,2485.55
2019-07-02,HDFCBANK,2495.0
2019-07-03,HDFCBANK,2489.65
2019-07-04,HDFCBANK,2483.8
2019-07-05,HDFCBANK,2472.4
2019-07-08,HDFCBANK,2409.6
2019-07-09,HDFCBANK,2379.15
2019-07-10,HDFCBANK,2388.75
2019-07-11,HDFCBANK,2407.15
2019-07-12,HDFCBANK,2393.9
2019-07-15,HDFCBANK,2394.75
2019-07-16,HDFCBANK,2391.2
2019-07-17,HDFCBANK,2397.45
2019-07-18,HDFCBANK,2411.9
2019-07-19,HDFCBANK,2375.65
2019-07-22,HDFCBANK,2297.25
2019-07-23,HDFCBANK,2263.5
2019-07-24,HDFCBANK,2280.9
2019-07-25,HDFCBANK,2286.05
2019-07-26,HDFCBANK,2277.3
2019-07-29,HDFCBANK,2244.3
2019-07-30,HDFCBANK,2252.25
2019-07-31,HDFCBANK,2251.65
2019-08-01,HDFCBANK,2221.8
2019-08-02,HDFCBANK,2214.35
2019-08-05,HDFCBANK,2179.25
2019-08-06,HDFCBANK,2189.1
2019-08-07,HDFCBANK,2184.0
2019-08-08,HDFCBANK,2233.15
2019-08-09,HDFCBANK,2282.0
2019-08-13,HDFCBANK,2220.35
2019-08-14,HDFCBANK,2229.45
